"LOCATION_PWL_ID","waterbody"
"0102-0033","Akron Reservoir"
"0105-0029","Minton Reservoir"
"0303-0022","Henderson Bay"
"0403-0002","Silver Lake"
"0503-0031","Hornell Reservoirs"
"0601-0033","Otsego Lake"
"0601-0097","Oneonta Lower Reservoir"
"0601-0117","Allen Lake"
"0602-0010","Norwich Reservoirs"
"0702-0011","Otisco Lake"
"0703-0071","Oneida City Reservoir"
"0704-0001","Canandaigua Lake"
"0705-0003","Keuka Lake"
"0705-0021","Seneca Lake, Main Lake, Middle"
"0705-0050","Cayuga Lake, Main Lake, Mid-South"
"0706-0009","Owasco Lake"
"0707-0004","Skaneateles Lake"
"0903-0204","Blue Mountain Lake"
"0905-0180","Star Lake"
"1000-0002","Lake Champlain, Main Lake, Middle"
"1001-0015","Willsboro Bay"
"1003-0114","Mead/Patterson Reservoirs"
"1004-0053","Butternut Pond"
"1005-0038","Dolph/Beaver Pond"
"1005-0050","Butler Pond"
"1005-0052","Wilkie Reservoir"
"1006-0016","Lake George"
"1006-0028","Edgecomb Pond"
"1101-0059","Mechanicville Reservoir"
"1101-0068","Loughberry Lake"
"1101-0089","Keenan Reservoir"
"1102-0006","Tomhannock Reservoir"
"1104-0111","Steele Reservoir"
"1104-0114","Ireland Vly"
"1104-0125","Jackson Summit/Cameron Reservoirs"
"1104-0127","Rice, Port Reservoirs"
"1104-0236","Gooseneck Pond"
"1201-0098","Stony Creek (Colonie) Reservoir"
"1201-0120","Cork Center Reservoir"
"1201-0123","Fonda Reservoir"
"1202-0015","Cobleskill Reservoirs"
"1202-0016","Central Bridge Reservoirs"
"1202-0038","Richmondville Reservoir"
"1301-0059","Sleepy Hollow Lake"
"1301-0128","First, Second and Third Reservoirs"
"1301-0164","Popolopen Lake"
"1301-0166","Stillwell Lake, Mine Lake"
"1301-0173","Bog Meadow Pond, Jims Pond"
"1301-0174","Lusk Reservoir"
"1301-0208","Chodikee Pond"
"1301-0227","Coxsackie Reservoir"
"1301-0232","Alcove Reservoir"
"1302-0007","Lake Mahopac"
"1302-0025","Lake Gleneida"
"1302-0067","Indian Brook Reservoir"
"1303-0004","Walton Lake"
"1306-0003","Rondout Reservoir"
"1306-0060","Shawangunk Lake/Highland Lake"
"1307-0021","Kingston Reservoir 4"
"1307-0022","Cooper Lake"
"1309-0007","Hollster Lake"
"1309-0024","Potuck (Potic) Reservoir"
"1311-0022","Duanesburg Reservoir"
"1311-0023","Delanson Reservoir"
"1402-0049","McKee Reservoir/Lake Louise Marie"
"1403-0067","Lily Pond"
"1404-0090","Stamford Reservoir"
"1501-0050","Tuxedo Lake"
"1501-0066","Sterling Forest Lake"
"1501-0068","Sterling Lake"
"1701-0285","Barlow Pond, Fishers Island"
"1702-0059","Kensico Reservoir"
"1702-0134","Byram Lake Reservoir"
