"LAKE_HISTORY_ID","PWS","PWS.ID"
"0302MENXXX1","YES",NA
"0302UWB0008","YES",NA
"0302UWB5258","YES",NA
"0402CAN0043","YES",NA
"0402HEM0044","YES",NA
"0402RUS0033","YES",NA
"0503HOR0035","YES",NA
"0503HOR0036","YES",NA
"0601UWB0395","YES",NA
"0601WIL0297","YES",NA
"0602UWB0108","YES",NA
"0702OTI0175","YES",NA
"1003PAT0027","YES",NA
"1005UWB5349","YES",NA
"1005WIL0455A","YES",NA
"1101KEE0114","YES",NA
"1101NEW0099C","YES",NA
"1101UWB1081","YES",NA
"1104GLO0150A","YES",NA
"1104GOO0442","YES",NA
"1104JAC0151","YES",NA
"1104POR0152E","YES",NA
"1104RIC0152D","YES",NA
"1104ROU0137","YES",NA
"1104STE0135","YES",NA
"1104UWB0134D","YES",NA
"1201COR0664","YES",NA
"1201FOR0681A","YES",NA
"1201UWB0662","YES",NA
"1201UWB0706","YES",NA
"1201UWB0706B","YES",NA
"1201UWB5293","YES",NA
"1201VAN0689","YES",NA
"1202HOL5453","YES",NA
"1202TAN0655B","YES",NA
"1202TAN0655D","YES",NA
"1202UWB0579A","YES",NA
"1202UWB0589A","YES",NA
"1301JER1042","YES",NA
"1301UWB5426","YES",NA
"1301WIC0183A","YES",NA
"1302BOG0086","YES",NA
"1302CRO0059","YES",NA
"1302CRO0109","YES",NA
"1302DIV0083","YES",NA
"1302EAS0089","YES",NA
"1302GIL0061","YES",NA
"1302KIR0052","YES",NA
"1302MUS0044A","YES",NA
"1302NEW0044","YES",NA
"1302TIT0103","YES",NA
"1302WES0067","YES",NA
"1303UPP0223","YES",NA
"1303WAS0225","YES",NA
"1304BEA0345A","YES",NA
"1306MIL0515","YES",NA
"1306MON0598","YES",NA
"1306RON0815A","YES",NA
"1306SHA0491","YES",NA
"1307KIN0837","YES",NA
"1307KIN0837A","YES",NA
"1307KIN0838A","YES",NA
"1309BAS0950A","YES",NA
"1311DUA0290","YES",NA
"1402NEV0058B","YES",NA
"1403PEP0358A","YES",NA
"1404CAN0402A","YES",NA
"1404STA0462","YES",NA
"1404TRA5563","YES",NA
"1501DEF0977A","YES",NA
"1702HIL1052","YES",NA
